Course number,Course title,Registration restrictions,Units,Type,Section,Session,Time,Days,Seats,Registered,Waitlist,Instructor,Room
ACAD-181g,Disruptive Innovation,M,4.0 units,Lecture,10207D,1,10:00-11:50am,"Tue, Thu",32,32,0,Phil More,IYH210/211 & ONLINE
ACAD-181g,Disruptive Innovation,M,4.0 units,Lecture,10207D,1,10:00-11:50am,"Tue, Thu",32,32,0,Phil More,IYH210/211 & ONLINE
ACAD-203,Statics,P,3.0 units,Lecture,28717R,60,12:30-1:50pm,"Tue, Thu",64,57,0,Oussama Safadi,ONLINE
ACAD-204,Strength of Materials,P,3.0 units,Lecture,28719D,1,2:00-3:20pm,"Mon, Wed",15,15,0,Oussama Safadi,SGM123 & ONLINE
ACAD-245,Product Design I,P,4.0 units,Lecture,10232R,1,6:00-8:50pm,"Tue, Thu",24,15,0,Safir Bellali Lisa Krohn,IYH107/112 & ONLINE
ACAD-276,Dev II,P,4.0 units,Lecture,10210D,1,2:00-4:50pm,"Tue, Thu",40,31,0,Patrick Dent,IYH210/211 & ONLINE
ACAD-301,Dynamics,P,3.0 units,Lecture,28725R,1,8:00-8:50am,MWF,40,8,0,Geoffrey Shiflett,SAL101 & ONLINE
ACAD-315x,Basics of Project and Operations Management for Non-Majors,M,2.0 units,Lecture,14978R,431,4:00-5:50pm,"Tue, Thu",40,32,0,Cosimo Arnesano,ONLINE
ACAD-341,Android App Development,P,4.0 units,Lecture,32040D,60,6:00-7:50pm,"Mon, Wed",35,11,0,Bennett Lee,ONLINE
ACAD-342,iOS App Development,P,4.0 units,Lecture,31890D,60,12:00-1:50pm,"Mon, Wed",60,48,0,Trina Gregory,ONLINE
ACAD-365,Managing Data in C++,P,4.0 units,Lecture,32041D,60,2:00-3:50pm,"Tue, Thu",58,33,0,Nathan Greenfield,ONLINE
ACAD-376,Discerning and Making I: Concept and Feasibility,PM,4.0 units,Lecture,10224D,1,3:00-5:00pm,"Mon, Wed",27,14,0,Grant Delgatty Lisa Krohn,IYH210/211 & ONLINE
ACAD-404,Advanced Front-End Web Development,P,4.0 units,Lecture,31835D,60,5:00-8:20pm,Tuesday,38,21,0,David Tang,ONLINE
ACAD-425,Web Application Security,P,4.0 units,Lecture-Lab,32008D,60,5:00-8:50pm,Tuesday,30,23,0,Andy Portillo,ONLINE
ACAD-449,Applications of Machine Learning,P,4.0 units,Lecture-Lab,31829D,60,2:00-3:50pm,"Mon, Wed",70,44,0,Reza Jafarkhani,ONLINE
ACAD-475a,The Garage Experience,PMC,4.0-8.0 units,Lecture,10216D,1,12:00-2:50pm,"Mon, Wed",33,32,0,Phil More Stephen Child,IYH212/213 & ONLINE
ACCT-370,External Financial Reporting Issues,P,4.0 units,Lecture,14026D,60,10:00-11:50am,"Mon, Wed",46,43,0,Smrity Randhawa,ONLINE
ACCT-371,Introduction to Accounting Systems,P,4.0 units,Lecture,14041D,60,12:00-1:50pm,"Tue, Thu",46,43,0,Bob Kiddoo,ONLINE
ACCT-372,Internal Reporting Issues,P,2.0 units,Lecture,14050R,442,2:00-3:50pm,"Mon, Wed",40,39,0,Cecil Jackson,ONLINE
ACCT-373,Introduction to Auditing and Assurance Services,P,2.0 units,Lecture,14055D,431,8:00-9:50am,"Mon, Wed",40,31,0,Rose Layton,ONLINE
ACCT-374,Introduction to Tax Issues,P,2.0 units,Lecture,14060D,431,12:00-1:50pm,"Tue, Thu",42,29,0,Greg Kling,ONLINE
ACCT-377,Valuation for Financial Statement Purposes,P,2.0 units,Lecture,14065R,442,8:00-9:50am,"Mon, Wed",40,30,0,Tom Ryan,ONLINE
ACCT-416,Financial Reporting and Analysis,P,2.0 units,Lecture,14105D,431,10:00-11:50am,"Mon, Wed",40,26,0,Greg Kling,ONLINE
ACCT-462,Detecting Fraudulent Financial Reporting,P,2.0 units,Lecture,14183D,431,2:00-3:50pm,"Mon, Wed",51,51,0,Cecil Jackson,ONLINE
ACCT-470,Advanced External Financial Reporting Issues,P,4.0 units,Lecture,14120R,60,12:00-1:50pm,"Tue, Thu",50,48,0,Herbert Perlmutter,ONLINE
ACCT-473,Financial Statement Auditing,P,2.0 units,Lecture,14135R,442,10:00-11:50am,"Mon, Wed",40,27,0,Rose Layton,ONLINE
ACCT-474,Tax Issues for Business,P,2.0 units,Lecture,14140R,442,2:00-3:50pm,"Mon, Wed",45,22,0,Shiing-Wu Wang,ONLINE
ACCT-528,"Fair Value Accounting: GAAP, IFRS and Emerging Issues",MC,1.5 units,Lecture,14232D,431,2:00-3:20pm,"Tue, Thu",74,59,0,Tom Ryan,ONLINE
ACCT-529,Tax Data Analytics,MC,3.0 units,Lecture,14205R,60,8:00-9:20am,"Tue, Thu",53,51,0,Adam Uttley Shirley Maxey,ONLINE
ACCT-531t,Taxation of Cross-Border Transactions Using Data Analytics,MC,3.0 units,Lecture,14252D,60,3:30-4:50pm,"Mon, Wed",52,50,0,Charles Swenson Shiing-Wu Wang,ONLINE
ACCT-532,Financial Accounting for Mergers and Acquisitions,P,1.5 units,Lecture,14216D,442,2:00-3:20pm,"Mon, Wed",40,35,0,George Braunegg,ONLINE
ACCT-533,Mergers and Acquisitions: Tax Planning and Strategy,P,1.5 units,Lecture,14218D,431,2:00-3:20pm,"Mon, Wed",40,36,0,Shiing-Wu Wang,ONLINE
ACCT-541L,Auditing in the Enhanced Data Age,MC,3.0 units,Lecture,14228D,60,11:00-12:20pm,"Tue, Thu",45,35,0,John Owens,ONLINE
ACCT-548L,IT Audit and Data Applications,MC,3.0 units,Lecture,14236D,60,5:00-7:50pm,Wednesday,45,35,0,Thomas Phelps,ONLINE
ACCT-549,Advanced Enterprise Systems and Technologies,MC,3.0 units,Lecture,14241D,60,9:30-10:50am,"Mon, Wed",47,44,1,Daniel O'Leary,"ONLINE, ONLINE"
ACCT-550t,Tax Research and Professional Responsibilities,M,3.0 units,Lecture,14246R,378,5:30-7:00pm,Wednesday,30,23,0,Diane Comi,ONLINE
ACCT-551t,Taxation of Partnerships and S-Corps,M,3.0 units,Lecture,14244D,60,5:00-7:50pm,Monday,54,52,0,Michael Paranal,ONLINE
ACCT-554t,"Research, Theory and Ethics in Taxation",MC,3.0 units,Lecture,14253D,431,9:30-12:20pm,"Tue, Thu",53,51,0,Patricia Mills Jack Barcal,ONLINE
ACCT-559,Strategy and Operations Through CFO Lens,MC,3.0 units,Lecture,14260D,60,8:00-9:20am,"Tue, Thu",32,31,0,John Owens,ONLINE
ACCT-560t,Tax Theory and Ethics,MC,3.0 units,Lecture,14268R,378,5:30-7:00pm,Monday,35,29,0,Jack Barcal,ONLINE
ACCT-561t,Income Tax of Corporations and Their Shareholders,M,3.0 units,Lecture,14266D,442,9:30-12:20pm,"Tue, Thu",54,52,0,Gregory Kling,ONLINE
ACCT-567t,Taxation of Transactions in Property,PM,3.0 units,Lecture,14276R,378,5:30-7:00pm,Wednesday,30,15,0,Gregory Kling,ONLINE
ACCT-581,Financial Statement Analysis,PC,3.0 units,Lecture,14298D,60,11:00-12:20pm,"Mon, Wed",25,23,2,Tony Aaron,ONLINE
ACCT-583,Income Tax Accounting and Auditing,PC,3.0 units,Lecture,14305R,378,5:30-7:00pm,Tuesday,30,18,0,Paul Bader,ONLINE
