Course_number,Course_title,Units,Type,Time,Days,Instructor,Department,Rating_Class,Overall_Rating
ACAD-276,"Dev II","4.0 units",Lecture,2:00-4:50pm,"Tue, Thu","Patrick Dent",Engineering,good,4.8
ACAD-342,"iOS App Development","4.0 units",Lecture,12:00-1:50pm,"Mon, Wed","Trina Gregory","Information Science",good,4.0
ACAD-365,"Managing Data in C++","4.0 units",Lecture,2:00-3:50pm,"Tue, Thu","Nathan Greenfield","Computer Science",good,4.3
ACCT-372,"Internal Reporting Issues","2.0 units",Lecture,2:00-3:50pm,"Mon, Wed","Cecil Jackson",Accounting,good,3.6
ACCT-462,"Detecting Fraudulent Financial Reporting","2.0 units",Lecture,2:00-3:50pm,"Mon, Wed","Cecil Jackson",Accounting,good,3.6
ACCT-532,"Financial Accounting for Mergers and Acquisitions","1.5 units",Lecture,2:00-3:20pm,"Mon, Wed","George Braunegg",Accounting,good,3.5
ACCT-583,"Income Tax Accounting and Auditing","3.0 units",Lecture,5:30-7:00pm,Tuesday,"Paul Bader",Accounting,average,2.7
AHIS-486,"Introduction to Museums: Past, Present, and Future","4.0 units",Lecture,2:00-4:50pm,Monday,"Selma Holo","Art History",zero,N/A
AHIS-794a,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Kate Flint","Art History",average,3.0
AHIS-794b,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Kate Flint","Art History",average,3.0
AHIS-794c,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Kate Flint","Art History",average,3.0
AHIS-794d,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Kate Flint","Art History",average,3.0
AHIS-794z,"Doctoral Dissertation","0.0 units",Lecture,TBA,TBA,"Kate Flint","Art History",average,3.0
AME-302,"Dynamic Systems","3.0 units",Lecture,2:00-3:20pm,"Mon, Wed","Inna Abramova",Engineering,good,3.9
AME-485,"Aerospace Structures I","3.0 units",Lecture,5:15-7:25pm,Wednesday,"Vinay Goyal",Engineering,good,5.0
ANTH-502,"Contemporary Theory in Anthropology","4.0 units",Lecture,2:00-4:50pm,Thursday,"Janet Hoskins",Anthropology,good,3.9
ARCH-305aL,"Building Science II","4.0 units",Lecture-Lab,4:00-5:50pm,"Mon, Wed","David Gerber",Architecture,average,2.6
ARCH-313,"Design of Building Structures","3.0 units",Lecture,11:00-12:20pm,"Tue, Thu","Jeff Guh",Architecture,good,4.2
ARCH-405aL,"Building Science III","4.0 units",Lecture-Lab,9:00-10:50am,"Tue, Thu","Tigran Ayrapetyan",Architecture,good,5.0
ARCH-423,"Light, Color and the Character of Material","2.0 units",Lecture,11:00-12:50pm,Wednesday,"Valery Augustin",Architecture,zero,N/A
ART-320,"Painting II","4.0 units",Lecture,6:00-8:40pm,"Tue, Thu","Robert Alderette","Fine Arts",good,4.3
ART-380,"Studio Critique II","2.0 units",Lecture,9:00-11:40am,Thursday,"Jud Fine","Fine Arts",good,4.4
ART-410,"Topics in Advanced Drawing","4.0 units, max 12",Lecture,12:00-2:40pm,"Mon, Wed","Edgar Arceneaux","Arts amp Letters",average,3.3
ART-440,"Topics in Advanced Sculpture","4.0 units, max 12",Lecture,12:00-2:40pm,"Mon, Wed","Jud Fine","Fine Arts",good,4.4
ART-470,"Topics in Advanced Printmaking","4.0 units, max 12",Lecture,6:00-8:40pm,"Tue, Thu","Xavier Fumat","Fine Arts",good,5.0
ASTE-470,"Spacecraft Propulsion","3.0 units",Lecture,4:00-6:40pm,Friday,"Mike Gruntman",Engineering,good,4.0
ASTE-594b,"Master's Thesis","2.0 units",Lecture,TBA,TBA,"Mike Gruntman",Engineering,good,4.0
ASTE-594z,"Master's Thesis","0.0 units",Lecture,TBA,TBA,"Mike Gruntman",Engineering,good,4.0
BAEP-453,"Venture Management","4.0 units",Lecture,6:00-9:20pm,Tuesday,"Elizabeth Amini",Business,good,4.9
BAEP-472,"The Science of Peak Performance","2.0 units",Lecture,6:00-7:50pm,Tuesday,"Glenn Fox",Business,good,4.7
BAEP-497,"Field Project in Entrepreneurship","1.0-2.0 units, max 4",Lecture,TBA,TBA,"Glenn Fox",Business,good,4.7
BAEP-558,"The Entrepreneurial Advisor: Problem Solving for Early-Stage Companies","1.5-3.0 units",Lecture,6:30-9:30pm,Wednesday,"Jeremy Dann",Business,good,5.0
BISC-290,"Introduction to Biological Research","2.0-4.0 units, max 4",Lecture,TBA,TBA,"Christa Bancroft","Biological Sciences",good,4.4
BISC-315L,"Introduction to Ecology","4.0 units",Lecture,2:00-3:20pm,"Mon, Wed","Julie Hopper","Biological Sciences",poor,2.0
BISC-330L,Biochemistry,"4.0 units",Lecture,12:00-12:50pm,MWF,"Christa Bancroft","Biological Sciences",good,4.4
BISC-406L,Biotechnology,"4.0 units",Lecture,9:00-9:50am,"Tue, Thu","Christa Bancroft","Biological Sciences",good,4.4
BISC-438,"Nutritional Biochemistry","4.0 units",Lecture,3:00-3:50pm,MWF,"Grayson Jaggers","Biological Sciences",good,4.6
BISC-450L,"Principles of Immunology","4.0 units",Lecture,12:30-1:50pm,"Tue, Thu","Raffaella Ghittoni","Biological Sciences",good,4.0
BISC-544,"Advanced Reading in Molecular Biology","1.0-2.0 units, max 4",Lecture,11:00-12:00pm,Friday,"Moh El-Naggar",Physics,good,3.9
BISC-596,"Internship for Curricular Practical Training","1.0-3.0 units, max 3",Lecture,TBA,TBA,"Christa Bancroft","Biological Sciences",good,4.4
BME-423,"Statistical Methods in Biomedical Engineering","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","David D'Argenio",Engineering,good,4.9
BME-430,"Principles and Applications of Systems Biology","4.0 units",Lecture,2:00-3:20pm,"Tue, Thu","Stacey Finley",Engineering,average,2.9
