Course number,Course title,Registration restrictions,Units,Type,Section,Session,Time,Days,Seats,Registered,Waitlist,Instructor,Room
ACAD-174,Innovators Forum,NA,"2.0 units, max 4",Lecture,10200D,1,5:00-7:50pm,Monday,32,32,0,Doug Thomas,IYH212/213 & ONLINE
ACAD-176,Rapid Visualization,NA,4.0 units,Lecture,10202D,1,2:00-4:20pm,"Mon, Wed",32,32,0,Stephen Child,IYH110 & ONLINE
ACAD-177,Digital Toolbox for Design,NA,2.0 units,Lecture,10209D,508,8:00-9:50am,"Tue, Thu",30,30,0,Stephen Child,IYH210/211 & ONLINE
ACAD-180,Digital Toolbox: Sound and Audio,NA,2.0 units,Lecture,10222D,648,8:00-9:50am,"Tue, Thu",31,29,0,Wayne Jones,IYH210 & ONLINE
ACAD-181g,Disruptive Innovation,M,4.0 units,Lecture,10207D,1,10:00-11:50am,"Tue, Thu",32,32,0,Phil More,IYH210/211 & ONLINE
ACAD-181g,Disruptive Innovation,M,4.0 units,Lecture,10207D,1,10:00-11:50am,"Tue, Thu",32,32,0,Phil More,IYH210/211 & ONLINE
ACAD-182,Case Studies in Innovation,NA,4.0 units,Lecture,10204R,1,6:00-7:50pm,"Mon, Wed",28,18,0,Phil More Scott Armanini,IYH110 & ONLINE
ACAD-188,Digital Toolbox: Modeling Products I,NA,2.0 units,Lecture,10201R,508,6:00-7:50pm,"Mon, Wed",42,26,0,Adam Hughes,ONLINE
ACAD-189,Digital Toolbox: Modeling Products II,NA,2.0 units,Lecture,10203R,648,6:00-7:50pm,"Mon, Wed",24,19,0,Adam Hughes,IYH112 & ONLINE
ACAD-203,Statics,P,3.0 units,Lecture,28717R,60,12:30-1:50pm,"Tue, Thu",64,57,0,Oussama Safadi,ONLINE
ACAD-204,Strength of Materials,P,3.0 units,Lecture,28719D,1,2:00-3:20pm,"Mon, Wed",15,15,0,Oussama Safadi,SGM123 & ONLINE
ACAD-206,Communication and Culture,NA,4.0 units,Lecture,20388D,60,2:00-3:20pm,"Mon, Wed",120,115,0,Cristina Visperas,ONLINE
