First Name,Last Name,Department,Rating Class,Overall Rating
Anthony,Aaron,Accounting,good,5.0
Lucienne,Aarsen,English,good,4.6
Andy,Abad,Music,good,3.5
Henry,Abakians,Engineering,average,3.0
Tony ,Abatemarco,Theatre,good,5.0
Ali,Abbas,Engineering,good,5.0
Anthony,Abboreno,Thematic Option,good,4.0
Eileen,Abel,Social Work,good,4.3
Shelly,Abernathy,Social Work,average,3.0
Inna,Abramova,Engineering,good,3.9
Scott,Abrams,Business,good,4.7
Jeremy,Abramson,Computer Science,poor,1.0
Sami,Abu-El-Haija,Computer Science,good,5.0
Elinor,Accampo,History,average,3.0
Christine,Acham,Film,average,2.8
Cesar,Acosta-Meija,Engineering,good,4.0
Victor,Adamchik,Computer Science,average,3.0
China,Adams,Fine Arts,good,4.5
J.A.,Adande,Journalism,good,4.0
Leonard,Adleman,Computer Science,average,3.0
Paul,Adler,Management,good,4.5
Rob,Adler,Theatre,good,4.8
Virgil,Adumitroaie,Engineering,good,3.5
Emma,Aguila,Policy Planning & Development,good,5.0
Amara,Aguilar,Journalism,poor,2.0
Andres,Aguliar,Biological Sciences,good,4.0
Hyun,Ah Kim,Writing,poor,1.0
Kenneth,Ahern,Finance,good,4.7
Hyunjung,Ahn,East Asian Languages,good,5.0
Michael,Ahn,Philosophy,good,5.0
Hyun Jung,Ahn,East Asian Languages,good,5.0
Jasmine,Aimaq,International Studies,good,4.4
Giles,Aisenbrey,Policy Planning amp Development,good,5.0
Joshua,Aizenman,International Relations,good,4.8
Rahsan,Akbulut,Economics,good,3.6
Nuray,Akin,Business,average,3.0
Tatiana,Akishina,Languages,good,4.5
Taha,Al-Sabea,Economics,average,2.5
Elias,Albagli,Finance,good,5.0
Pamela,Albanese,Writing,good,4.7
David,Albertson,Religion,good,4.3
Theodore,Albiniak,Communication,good,4.8
Julie,Albright,Sociology,good,4.1
Robert,Alderette,Fine Arts,good,4.3
Karen,Alejado,Education,good,5.0
Nick,Alenkin,Social Work,good,3.9
Kenneth S.,Alexander,Mathematics,average,3.4
Amy,Alexander,Social Work,good,4.5
Andrae,Alexander,Music,good,5.0
Kathleen,Allen,Business,poor,1.2
Eric,Allen,Business,good,3.9
Phil,Allen,Theatre,average,3.0
Carter,Allen,Engineering,good,3.7
Jane,Allgood,Social Work,good,4.5
Andrew,Allport,Thematic Option,good,4.3
Ricardo,Alonso,Business,average,2.6
Jim,Alstad,Computer Science,poor,2.2
Cynthia,Alt,Business,average,3.0
Daniel,Alvillar,Social Work,poor,2.0
Susan,Ames,Health Science,good,3.8
Elizabeth,Amini,Business,good,4.9
Yvette,Amirian,Cinema,good,4.7
Karin,Amundsen,History,average,3.3
Mike,Ananny,Journalism,good,4.5
Sasha,Anawalt,Journalism,good,4.9
Elaine,Andersen,Psychology,average,3.1
Lawford,Anderson,Geology,good,4.6
Emily,Anderson,English,good,4.6
Catherine,Anderson,Art History,average,3.0
Tom,Anderson,Cinema,good,4.5
Janeane,Anderson,Communication,good,5.0
Clifford,Ando,Classics,good,3.9
Douglas,Andrews,Communication,poor,2.3
Estella,Andujo,Social Work,good,5.0
Afroditi,Angelopoulou,Classics,good,5.0
Rafael,Angulo,Social Work,good,4.2
Eric,Anicich,Business,good,4.8
Mike,Annany,Journalism,good,4.8
Murali,Annavaram,Engineering,good,4.5
Alison,Annunziata,Slavic Languages & Literatures,good,3.5
Iman,Ansari,Architecture,good,5.0
Arif,Ansari,Engineering,good,3.5
Jennifer,Ansley,Writing,good,4.0
Richard,Antaramian,History,average,2.5
Kary,Antholis,Cinema,good,4.0
Joe,Anthony,Theater,good,4.4
Joao,Antunes Ramos,Economics,average,3.2
Uju,Anya,Education,poor,1.0
Lucia,Aparicio,Social Work,good,3.7
Oscar,Aparicio,Biology,good,4.0
Margo,Apostolos,Theater,good,4.3
Andrea,Appel,Mathematics,good,3.7
Gil,Appel,Marketing,good,3.7
Scott,Applebaum,Earth Science,good,4.2
Paul,Appleby,Communication,good,5.0
Harold,Apter,Film,good,4.9
Shermin,Arab,Engineering,poor,1.5
Anna,Arabyan,Gerontology,good,5.0
Maria,Aranda,Social Work,poor,1.2
Juan,Araque,Social Work,good,4.4
Raphael,Arar,Cinema,good,5.0
Juliana,Araujo,Economics,average,3.2
Helder,Araujo,Psychology,good,4.8
Michael,Arbib,Computer Science,average,2.8
Edgar,Arceneaux,Arts amp Letters,average,3.3
John,Arensmeyer,Languages,good,4.8
Fariba,Ariaei,Engineering,poor,2.0
Hagit,Arieli-Chai,Religion,good,4.5
Jolanta,Aritz,Business,good,3.8
Gloria,Arjona,Languages,good,4.6
Andrea,Armani,Engineering,good,3.8
Cesar,Armendariz,Business,good,4.5
Jody,Armour,Law,good,3.5
Jerry,Arnold,Accounting,good,3.5
