course_number,course_title,Units,Type,Section,Session,Time,Seats,Registered,Instructor,Room,start_time_of_day,end_time_of_day,day_of_week
ACAD-174,Innovators Forum,"2.0 units, max 4",Lecture,10200D,001,5:00-7:50pm,29,29,Doug Thomas,IYH212/213,17,19.833333333333332,Monday
ACAD-181g,Disruptive Innovation,4.0 units,Lecture,10207D,001,9:30-11:50am,29,29,Philip More,IYH211,9.5,11.833333333333334,Monday
ACAD-204,Strength of Materials,NA,Lecture,28719R,001,2:00-3:20pm,34,22,Oussama Safadi,ZHS163,14,15.333333333333334,Monday
ACAD-206,Communication and Culture,4.0 units,Lecture,20388D,001,12:00-1:50pm,125,110,Taj Frazier,ASC G26,12,13.833333333333334,Monday
ACAD-207,Multimedia for Designers and Entrepreneurs I,4.0 units,Lecture,10234D,001,12:00-2:50pm,26,26,Carsten Becker,IYH213,12,14.833333333333334,Monday
ACAD-240,Materials: Denim to Nanotubes,4.0 units,Lecture,10235D,001,10:00-11:50am,26,26,Michael Crowley,IYH111,10,11.833333333333334,Monday
ACAD-275,Dev I,4.0 units,Lecture,10205D,001,5:00-7:50pm,30,20,Patrick Dent,IYH210,17,19.833333333333332,Monday
ACAD-301,Dynamics,3.0 units,Lecture,28725R,001,8:00-8:50am,60,22,Geoffrey Shiflett,GFS116,8,8.833333333333334,Monday
ACAD-301,Dynamics,NA,Lecture,28726D,001,9:00-9:50am,82,81,Geoffrey Shiflett,GFS116,9,9.833333333333334,Monday
ACAD-302,The Hacker Imagination: from Ancient Greece to Cupertino,4.0 units,Lecture,10230D,001,10:00-11:50am,34,34,Doug Thomas,IYH210,10,11.833333333333334,Monday
ACAD-311,Design for User Experience,4.0 units,Lecture,32029D,001,2:00-3:50pm,30,21,Chris Swain,RTH115,14,15.833333333333334,Monday
ACAD-311,Design for User Experience,NA,Lecture,32035D,001,10:00-11:50am,37,21,Chris Swain,KAP163,10,11.833333333333334,Monday
ACAD-312,Materials Behavior and Processing,NA,Lecture,32131D,001,2:00-3:50pm,31,30,Lessa Grunenfelder,VKC201,14,15.833333333333334,Monday
ACAD-330,3D Design: Objects and Space,4.0 units,Lecture,33289D,001,12:00-2:40pm,20,6,Alice Fung,HAR112D,12,14.666666666666666,Monday
